check_id,run_id,turn,branch,actor,metric,unit,source_file,page,reviewed_pages,action,requirement_id,rule_quote,rule_locator,status,evidence,reason,unknown_reason,review_completed,human_review_required,assessment_class,record_scope,input_binding_uncertainty,reported_value,recomputed_value
AL-00360,GEM-16,T2,Most Plausible;Failed De-escalation; Military terminated,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/16.pdf,10,8;9;10;11,비밀철수회담/봉쇄도전/준비가속; 철수/핵권한위임/보복명령.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,the collapsing central leadership might delegate launch authority,군사 억제와 쿠바 안전의 출구를 병행하며 핵권한은 중앙지도부의 위임 대안이다. 종료된 경로는 이 행동군 C의 범위 밖이다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00361,GEM-16,T2,Failed De-escalation,SU-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Gemini_2.5_Flash/16.pdf,10,8;9;10;11,the collapsing central leadership might delegate launch authority,SU-A03-CONSTRAINT02,Strict civilian control – must await political directives (cannot act independently to initiate hostilities):contentReference[oaicite:35]{index=35},$.actors[2].constraints[1],준수,the collapsing central leadership might delegate launch authority,지도부의 핵권한 위임 대안이며 통신 두절만으로 현장 지휘관이 독자 사용한 것과 구분한다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00362,GEM-16,T3,Most Plausible; other paths terminated,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/16.pdf,12,12;13;14,즉각보복/24시간시한/격추를지역행동으로취급·협상.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Issue a Final 24-Hour Ultimatum,실제 남은 경로에서 국방부 보복과 대통령의 마지막 유예를 선택 범위로 유지한다. 중단 경로의 역할은 이 C에 포함하지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00363,GEM-16,T3,Most Plausible; other paths terminated,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/16.pdf,12,12;13;14,공격대비/쿠바책임부인/즉시항복.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Offer Immediate Capitulation via Backchannel,군부 방어 준비와 지도자 기만·비밀양보가 실제 선택으로 나타난다. 높은 위험감수라도 항복으로 전쟁을 피하는 대안이 허용된다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00364,GEM-16,T4,From Most Plausible to Brink of War,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/16.pdf,15;16,15;16;17,군사행동보류/침공/직접긴급통신.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Hold Military Action and Await Clarification,군부 침공안보다 해명 대기·직접통신으로 대통령의 핵전쟁 회피 목표를 구현한다. 임계값 원 충돌은 별도 범위다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00365,GEM-16,T4,From Most Plausible to Brink of War,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/16.pdf,15,15;16;17,일방철수/선제공격/핵사용승인.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,they may authorize local commanders,철수 주선택과 핵 사용 승인 대안을 구분한다. 선제공격 대안도 군부의 주장으로 제시돼 독자 실행의 증거는 아니다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00366,GEM-17,T2,Most Plausible;Military;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/17.pdf,8,7;8;9;10,미사일교환/긴급휴전/불침공교환공식제안.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Use Emergency Channels to Propose an Immediate Ceasefire,전면전 경로도 핵전쟁 회피 목적에 따라 휴전을 선택하며 국방부의 선호를 절대 선택으로 만들지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00367,GEM-17,T2,Most Plausible;Military;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/17.pdf,8,7;8;9;10,비밀협상/군부보복명령중지휴전/수용·터키추가제안.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,The Party Presidium asserts control,Presidium이 군부 보복의 기존 명령을 바꾸고 휴전을 수용하는 실제 정치통제를 기록한다. 터키 교환은 전략 균형과 군부 수용성의 절충이다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00368,GEM-17,T2,Military,SU-A02,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Gemini_2.5_Flash/17.pdf,8,7;8;9;10,The Party Presidium asserts control to prevent mutual destruction,SU-A02-TRIGGER02,"{""imminent_nuclear_war"": ""If nuclear war appears unavoidable, prioritize de-escalation or diplomatic outreach to prevent mutual destruction""}","$.actors[1].behavior_algorithm.trigger_thresholds[""imminent_nuclear_war""]",준수,The Party Presidium asserts control to prevent mutual destruction,핵전쟁 임박 조건에서 군부의 보복 명령을 정치적으로 중지하고 실제 휴전을 받아들인다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00369,GEM-17,T3,Most Plausible;Military;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/17.pdf,11,11;12;13;14,해명·명령된보복준비/공습침공/상호도발감수타결.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Order Military to Prepare Retaliation,명령된 준비를 즉시 실행과 구분하고 외교 경로에는 사건 감수 후 타결을 선택한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00370,GEM-17,T3,Most Plausible;Military;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/17.pdf,13,11;12;13;14,고정격추·막연완화시도/고정격추·반격예측/상호타결.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],판정 불가,Mutually Agree to Ignore the Incident,외교 경로의 공동 타결은 실제 행동이지만 앞 두 경로의 소련 응답은 고정 격추와 일반 반응만 있어 전체 국가 선택군의 역할 대응은 확정하지 않는다.,record_missing_or_incomplete,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00371,GEM-17,T4,Most Plausible;Military;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/17.pdf,17,15;16;17;18,비밀타결·경계해제/전략핵/경계해제·합의집행.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],판정 불가,Immediately Order All Forces to Stand Down,평화 경로는 지도자가 경계 해제·이행을 명령한다. 전쟁 경로의 정치통제 소멸과 자동계획은 원 적용 규칙 미정으로 전체 역할은 U다.,rule_ambiguous,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00372,GEM-17,T4,Most Plausible;Military;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/17.pdf,16,15;16;17;18,타결공개·무도발명령/완화명령무시전략핵/철수·잠수함회항.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],판정 불가,completely ignored by a military command,평화 경로의 회항·해체를 명령으로 구현한다. 군사 경로는 존재하는 완화 지시를 군부가 무시했다고 직접 서술하여 해당 조건 위반을 별도로 남긴다.,rule_ambiguous,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00373,GEM-17,T4,Military,SU-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Gemini_2.5_Flash/17.pdf,16,15;16;17;18,completely ignored by a military command already executing war plans,SU-A03-TRIGGER03;SU-A03-CONSTRAINT02,"{""political_deescalation"": ""If leadership seeks a deal or stand-down, comply with withdrawal/stand-down directives even if militarily disadvantageous""} | Strict civilian control – must await political directives (cannot act independently to initiate hostilities):contentReference[oaicite:35]{index=35}","$.actors[2].behavior_algorithm.trigger_thresholds[""political_deescalation""] | $.actors[2].constraints[1]",위반,completely ignored by a military command already executing war plans,지도부가 완화 지시를 보내지만 현존 군부가 이를 완전히 무시한다고 실제 상황을 확정했다. 이전 전쟁계획의 존재만으로 새 정치적 중지 지시를 거부할 수 있다는 예외는 원 JSON에 없다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00374,GEM-18,T2,Most Plausible;Military;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/18.pdf,8,8;9;10;11;12,격리외교/승인된비밀양보/공습준비; 공습/시한/POL봉쇄; 합의/UN검증/공개설명.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,the President could authorize a secret offer,국무부의 체면 보장 제안은 대통령의 승인 대안이고 검증·동맹 여론과 군사 압박을 실제 다른 수단에 연결한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00375,GEM-18,T2,Most Plausible;Military;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/18.pdf,10,8;9;10;11;12,선적중지협상/공개비난·비밀회담/잠수함; 준비가속/명령된호위/베를린지렛대; 철수/터키요구/해상검증.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,may be ordered to escort,군부 호위는 명령된 대안으로 제시하고 쿠바 안전 및 체면을 철수·공개/비밀 이중 대응에 반영한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00376,GEM-18,T3,Most Plausible;Military;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/18.pdf,13,13;14;15;16;17,해명·회담중지/승인제한보복/전면공습; 공습유일; 빠른타결/책임요구/보복승인.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Kennedy could authorize a compromise,대통령이 단일 SAM보복을 승인하는 절충과 외교 경로의 타결을 선택 가능하게 남긴다. 군사 경로의 추가대안 누락은 별도 절차 항목이다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00377,GEM-18,T3,Most Plausible;Military;Diplomatic,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Gemini_2.5_Flash/18.pdf,15,13;14;15;16;17,무승인주장/정당화/경계; 승인전면대응; 빠른철수/조의·징계/비밀재확인.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Authorize Full Military Response,보복은 승인된 국가 대응이고 책임 부인은 협상 발언이다. 외교 경로는 실제 신속 철수·조의로 쿠바 안전 합의를 보존한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
